date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,6.7,5,8.1,,,281,41.3,88.9,1007.8,
2019-01-02,3,-0.3,5.9,,,342,44.1,70.4,1024.6,
2019-01-03,2.2,-0.1,3.7,,,314,14.3,31.5,1033.2,
2019-01-04,4.5,1.1,6.3,,,284,17.5,33.3,1023.5,
2019-01-05,4.6,1,6.2,,,343,14.8,27.8,1021.1,
2019-01-06,1.5,-1.2,3.6,,,221,8.4,18.5,1027.6,
2019-01-07,4.5,3.3,6.4,,,231,14.2,44.5,1020.2,
2019-01-08,4.5,2.3,6.5,,,292,27.6,63,995.6,
2019-01-09,1.6,0,2.9,,,3,39.8,64.8,1012.7,
2019-01-10,0.2,-2.1,2.4,,,317,13.3,35.2,1022.6,
2019-01-11,4.5,-0.9,7.2,,,274,17.6,37,1011.8,
2019-01-12,3.1,-1.6,5.4,,,251,16.2,33.3,1004,
2019-01-13,5.6,3.7,8,,,270,22.1,48.2,988.1,
2019-01-14,1.3,-0.3,3.2,,,308,27.6,59.3,995.9,
2019-01-15,3.8,0.8,7.1,,,272,23.3,53.7,1001.8,
2019-01-16,5.9,4.5,6.6,,,229,26,48.2,998.1,
2019-01-17,2.7,-1.5,5.3,,,277,27.2,50,992.8,
2019-01-18,-1.1,-4.2,2,,,274,14.4,42.6,1011.9,
2019-01-19,-0.6,-3.1,1.4,,,250,13.4,27.8,1018,
2019-01-20,-0.2,-1.5,2.3,,,247,14.7,25.9,1019,
2019-01-21,0.8,-0.7,1.8,,,241,17.7,38.9,1015.9,
2019-01-22,0.7,0,1.2,,,190,12,37,1010.5,
2019-01-23,-0.3,-1.2,0.8,,,134,24.4,38.9,1007.8,
2019-01-24,-1,-2.1,-0.2,,,129,21.9,33.3,1014.3,
2019-01-25,-2.8,-3.6,-2,,,173,8.2,24.1,1013.2,
2019-01-26,-0.7,-2,0.9,,,140,21.4,38.9,1001.1,
2019-01-27,2.3,0.7,3.6,,,123,23.5,42.6,987.9,
2019-01-28,2.9,1.2,3.6,,,221,14.4,25.9,988.9,
2019-01-29,0.9,-0.8,2.6,,,259,13.4,29.6,999,
2019-01-30,1.5,0.1,2.9,,,140,16.1,38.9,1002.7,
2019-01-31,1.4,0.8,1.8,,,120,26.3,46.3,1001.7,
2019-02-01,1.4,0.5,2.5,,,88,17,33.3,1000.5,
2019-02-02,1.9,1.3,2.3,,,29,18.8,37,1000.2,
2019-02-03,1.2,-2,2.1,,,307,16,35.2,1012.2,
2019-02-04,0.6,-3.1,3.1,,,210,20.6,46.3,1020.9,
2019-02-05,4.1,1.8,6.1,,,239,29.4,50,1017.9,
2019-02-06,2.8,2.2,3.7,,,211,18.1,35.2,1020,
2019-02-07,3.6,3.2,4.5,,,180,20.6,44.5,1007.6,
2019-02-08,5.1,4.3,6.2,,,205,30.2,50,1005.1,
2019-02-09,5.5,4.6,7.2,,,201,33.2,51.8,995.5,
2019-02-10,4.4,3.7,6.3,,,185,22.9,51.8,993.3,
2019-02-11,3.2,1.5,4.3,,,305,22,51.8,1002.1,
2019-02-12,2.3,0,4.1,,,276,16.3,33.3,1023.6,
2019-02-13,6.8,4,9.1,,,266,23.1,42.6,1025.2,
2019-02-14,6.1,4.9,7.2,,,250,16.7,29.6,1031.4,
2019-02-15,4.2,1.2,8.3,,,227,11.9,24.1,1030.8,
2019-02-16,5.3,1.1,10,,,214,15.6,35.2,1021.7,
2019-02-17,6.2,4.3,8.5,,,203,11.6,27.8,1022.3,
2019-02-18,4.9,3.3,7.2,,,168,13.1,29.6,1017,
2019-02-19,5.5,2.4,7.2,,,234,21,44.5,1008.5,
2019-02-20,6.3,4.6,8.4,,,260,20.6,44.5,1015.5,
2019-02-21,6.6,3,8.7,,,259,18.7,33.3,1019.1,
2019-02-22,1.3,-0.3,2.6,,,108,18,37,1040.5,
2019-02-23,2.1,0.2,5.4,,,209,13.5,27.8,1042.2,
2019-02-24,5.3,0.8,11.9,,,268,12.2,27.8,1036.9,
2019-02-25,5.6,1.7,10,,,285,13.6,29.6,1034.9,
2019-02-26,6.7,4,10.1,,,271,10,25.9,1031.9,
2019-02-27,6.6,0.5,13.8,,,252,16.7,35.2,1021.6,
2019-02-28,6,0.5,10.6,,,306,15.6,31.5,1009,
2019-03-01,1.3,-3.1,5.9,,,231,6.8,22.2,1012,
2019-03-02,2.3,-0.1,4.4,,,208,14.2,31.5,1012.1,
2019-03-03,6.6,4.1,10.1,,,216,22.2,40.8,998.7,
2019-03-04,6.4,4.8,8.4,,,202,27,53.7,983.4,
2019-03-05,4.4,3.1,5.9,,,303,21.5,57.4,992.5,
2019-03-06,4.5,1.7,6.1,,,163,21.6,46.3,1004.4,
2019-03-07,6.4,5.5,8.9,,,187,27.9,46.3,991,
2019-03-08,5.8,4.4,7.8,,,243,35.7,79.6,995,
2019-03-09,5.1,3.5,8.1,,,228,30.7,61.1,996.8,
2019-03-10,4.2,0.5,7.6,,,282,25.9,55.5,997,
2019-03-11,1.4,-3.6,7,,,278,10.8,29.6,1007.4,
2019-03-12,3,-3.2,5.7,,,205,22.8,55.5,1010.6,
2019-03-13,4.9,3,6.4,,,198,31.3,53.7,992.3,
2019-03-14,5.1,4,7.5,,,222,20.9,38.9,991.2,
2019-03-15,5.2,3.4,6.6,,,246,21.3,51.8,989.1,
2019-03-16,5.4,2.2,8.2,,,247,25.8,48.2,997.3,
2019-03-17,6.9,5.3,8.4,,,219,34,57.4,991.5,
2019-03-18,5.2,3.4,6.9,,,265,30,57.4,1000.8,
2019-03-19,3.8,0.3,7,,,292,15.2,33.3,1022.1,
2019-03-20,5.5,0.6,8.9,,,237,16.8,40.8,1027.3,
2019-03-21,8.4,5.8,11.2,,,240,22.4,44.5,1028.8,
2019-03-22,6.9,5.8,9.3,,,182,13.8,29.6,1031.2,
2019-03-23,7.8,4.9,11.4,,,262,19,42.6,1025.2,
2019-03-24,6,3.8,9.2,,,258,19.2,37,1023,
2019-03-25,5.1,2.5,8.5,,,306,17.2,40.8,1013.2,
2019-03-26,4.9,0.8,8.7,,,296,19.5,42.6,1020.4,
2019-03-27,7.7,1.7,11,,,269,17.6,35.2,1024.8,
2019-03-28,9,7.1,13.1,,,282,12.5,27.8,1030,
2019-03-29,8.9,4.3,13.9,,,239,20.5,38.9,1027.9,
2019-03-30,8.8,3.1,14.5,,,232,19.2,37,1019.5,
2019-03-31,,,,,,,,,,
2019-04-01,3.1,-2.7,6.4,,,179,11.4,33.3,1028.5,
2019-04-02,6.6,4.3,9.2,,,125,30.5,48.2,1016.8,
2019-04-03,8.8,7.1,12.5,,,105,21.3,40.8,1006.6,
2019-04-04,9.7,6.3,13.8,,,87,20.8,38.9,1003.6,
2019-04-05,9.7,6.6,14.4,,,75,22.8,38.9,1008.1,
2019-04-06,10.3,6.2,16.5,,,64,13.2,35.2,1011.6,
2019-04-07,9.3,4.6,15.6,,,14,8.8,20.4,1011,
2019-04-08,7.3,4,11.3,,,352,16.8,33.3,1014.7,
2019-04-09,4.1,1.5,6.4,,,346,15.3,38.9,1018.6,
2019-04-10,3.4,0.7,6.3,,,36,16,29.6,1021.5,
2019-04-11,3.2,2,5.3,,,62,12.1,25.9,1028,
2019-04-12,3,1.7,4.7,,,83,12.5,27.8,1030.8,
2019-04-13,2.9,0.1,6.1,,,63,19.8,35.2,1030.8,
2019-04-14,4.7,0.8,9.4,,,68,22.6,37,1032,
2019-04-15,5,0.6,9.8,,,70,16.9,31.5,1033.5,
2019-04-16,5.6,1.4,9.7,,,84,18.7,37,1029,
2019-04-17,8,2.2,14.6,,,42,10.5,33.3,1032,
2019-04-18,9.7,4.2,16,,,45,11.3,24.1,1035.2,
2019-04-19,8.6,3.9,14.3,,,69,9.4,22.2,1037.1,
2019-04-20,10.3,2.1,16.3,,,351,5.5,20.4,1033.7,
2019-04-21,11.7,3.2,18,,,330,6.7,22.2,1025.6,
2019-04-22,10.6,6.1,14.7,,,99,16.1,33.3,1021.9,
2019-04-23,12.9,8.8,16.8,,,94,29.4,55.5,1017.8,
2019-04-24,13.2,10.4,15.5,,,103,26.1,46.3,1010.7,
2019-04-25,12.5,9.1,16.8,,,125,13.4,29.6,1011.1,
2019-04-26,14.1,8,22.4,,,67,9,24.1,1010.8,
2019-04-27,10.6,7.3,12.3,,,314,12.9,33.3,1010.1,
2019-04-28,11.1,7.8,14.3,,,328,11.8,25.9,1015.6,
2019-04-29,11.5,6.8,16.7,,,339,16.5,35.2,1022,
2019-04-30,11.3,5.9,18.1,,,193,10.1,24.1,1019.1,
2019-05-01,11.5,9.7,15.2,,,278,22.6,50,1009.5,
