date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,6,4.5,7.2,,,213,27.5,,992.5,
2018-01-02,4.7,3,5.4,,,222,17,,1001.7,
2018-01-03,4.5,2.9,5.6,,,166,27.2,,985.2,
2018-01-04,2.9,1.1,4.3,,,240,12.2,,986.7,
2018-01-05,3.1,1.5,3.8,,,338,11.4,,990.5,
2018-01-06,1.2,-0.5,3.2,,,304,12.7,,1007.2,
2018-01-07,-1.4,-3.3,1.1,,,294,11.4,,1030.4,
2018-01-08,-0.6,-3.9,2.1,,,247,9.2,,1035.7,
2018-01-09,3.2,0.4,5.8,,,103,27.2,,1026.2,
2018-01-10,3.8,3.3,4.3,,,108,20.5,,1014.8,
2018-01-11,3.7,2.6,4.4,,,79,16,,1020.2,
2018-01-12,2.3,1.7,2.7,,,96,24.1,,1032.4,
2018-01-13,1.1,0.1,1.7,,,107,25.1,,1035.2,
2018-01-14,-0.2,-1.3,1,,,131,26.2,,1031.2,
2018-01-15,0.9,-1.1,2.4,,,157,41.3,,1012.1,
2018-01-16,3,1.5,4.3,,,198,29.8,,985.5,
2018-01-17,1.6,0.3,2.4,,,255,13.5,,989,
2018-01-18,1.9,1.3,2.7,,,201,15.2,,992.4,
2018-01-19,1.4,0.3,2.4,,,,7,,1001.9,
2018-01-20,2,1.3,2.7,,,194,7.7,,1004.1,
2018-01-21,0.6,-0.2,1.5,,,79,5.9,,1012.9,
2018-01-22,1.1,0.1,2,,,140,20.4,,1013.1,
2018-01-23,2,0.9,4.4,,,159,21.6,,1017.6,
2018-01-24,,,,,,,,,,
2018-01-25,6,4.9,7.4,,,214,21.6,,1008,
2018-01-26,3.8,1.8,5.3,,,240,7.7,,1016.9,
2018-01-27,4.4,3.2,5.4,,,219,17.5,,1024.3,
2018-01-28,6.1,4,7.9,,,244,31.7,,1013.8,
2018-01-29,6.6,5,8.5,,,254,32.6,,1009,
2018-01-30,4.8,2.9,6.6,,,273,29.8,,1015.9,
2018-01-31,4.1,2.9,6.1,,,198,25.6,,1001.9,
2018-02-01,3.1,2.2,3.8,,,208,25.4,,993.4,
2018-02-02,2.7,-0.2,3.5,,,209,18.2,,999.6,
2018-02-03,-2.1,-3.3,-0.9,,,1,13.8,,1005.1,
2018-02-04,-0.4,-3.1,1,,,35,23.5,,1022.3,
2018-02-05,-3.5,-5,-1.4,,,32,15,,1032,
2018-02-06,-4.1,-8.6,-1.7,,,275,6.7,,1020.5,
2018-02-07,-2,-5.3,0.1,,,229,12.2,,1018.3,
2018-02-08,-0.9,-3,2.5,,,224,12.4,,1020.3,
2018-02-09,0.1,-0.7,0.9,,,155,22.2,,1018.5,
2018-02-10,0.1,-1,1.4,,,155,15.7,,1015.5,
2018-02-11,1.7,0.3,3,,,164,27.1,,1000.4,
2018-02-12,2.5,0.9,3.8,,,223,32.2,,1000.1,
2018-02-13,0.8,-1.5,2,,,213,14.5,,1013,
2018-02-14,0.7,-2.2,3.7,,,145,15.1,,1021,
2018-02-15,0.6,-0.2,1.4,,,143,35.5,,1018.2,
2018-02-16,2.6,0.2,4.9,,,244,21.3,,1015.9,
2018-02-17,2.3,1,3.1,,,342,8.8,,1024.3,
2018-02-18,2.1,0,4.1,,,199,11.3,,1026.7,
2018-02-19,1.3,-1.3,2.9,,,173,11.3,,1021.4,
