date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,5.8,2.9,6.7,,,254,21.4,,1010.5,
2017-01-02,0.8,-2.3,2.9,,,300,12.8,,1012.8,
2017-01-03,3.2,-1.9,7.2,,,254,23.6,,1004.5,
2017-01-04,2.1,-2.6,5,,,338,36.7,,998.3,
2017-01-05,-5.7,-7.4,-3.3,,,20,27.2,,1031.2,
2017-01-06,-6.1,-9.2,-3.3,,,309,10.4,,1040.4,
2017-01-07,-0.5,-3.4,2.6,,,237,22.9,,1025,
2017-01-08,-0.5,-1.1,0.8,,,318,10.4,,1028.7,
2017-01-09,2.1,0.8,3,,,219,18.8,,1022,
2017-01-10,1.5,1,2.1,,,169,30.1,,1011.3,
2017-01-11,2.6,1.1,4.3,,,199,36.7,,995.3,
2017-01-12,3,1,4.5,,,244,30.9,,992.3,
2017-01-13,0.7,-1.7,1.9,,,265,9.1,,991.7,
2017-01-14,-0.2,-3.3,2.6,,,249,10.7,,998.8,
2017-01-15,-0.2,-2.9,1.6,,,348,19.5,,1013.6,
2017-01-16,-1.5,-4.1,1.5,,,340,15.3,,1026.3,
2017-01-17,-1,-2.1,0.6,,,262,10.4,,1036.1,
2017-01-18,1.9,0.8,3,,,239,21.6,,1036,
2017-01-19,3.5,2.3,5.7,,,244,19,,1033.5,
2017-01-20,5,2.6,7.9,,,268,19.2,,1031.2,
2017-01-21,2.4,0.1,3.9,,,270,6.7,,1030.8,
2017-01-22,2.5,1.5,3.2,,,193,8.8,,1028.9,
2017-01-23,1.4,-0.4,2.7,,,257,11.7,,1023.7,
2017-01-24,2.8,1.3,4.4,,,269,13.7,,1025.5,
2017-01-25,1.6,0.1,4,,,267,14.3,,1031.2,
2017-01-26,0.5,-0.7,1.8,,,206,9.2,,1031.9,
2017-01-27,1.6,0.2,3.5,,,141,14.4,,1025.2,
2017-01-28,1.2,-0.6,3.4,,,144,13.2,,1021.1,
2017-01-29,1.6,-1.1,3.3,,,191,15.2,,1016.7,
