date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,7.2,6.3,8.1,,,227,14.6,35.2,1017,
2022-01-02,8.6,7.4,9.2,,,225,19.2,35.2,1005.5,
2022-01-03,7.1,6.3,8.3,,,232,23.6,40.8,998.6,
2022-01-04,3.9,2.2,6.6,,,243,14.3,38.9,991.4,
2022-01-05,2.8,0.6,4.4,,,257,24.3,50,990.9,
2022-01-06,-0.4,-2.1,2.4,,,282,16.3,46.3,1011.2,
2022-01-07,1.9,-0.8,3,,,207,18.9,40.8,1008.2,
2022-01-08,2.7,1.2,3.9,,,207,22.1,37,1003,
2022-01-09,2.6,2,3.3,,,133,28.4,46.3,999.2,
2022-01-10,2.5,1.4,4.3,,,93,17.9,33.3,1022.3,
2022-01-11,1.7,0.3,2.3,,,177,20.1,33.3,1033.2,
2022-01-12,3.7,1.2,6.8,,,250,16.8,40.8,1032,
2022-01-13,7.7,6.8,9,,,269,33.8,57.4,1026.7,
2022-01-14,6.4,0.2,8.9,,,289,30.3,59.3,1024.2,
2022-01-15,0.7,-3,3.1,,,255,10.9,22.2,1026.5,
2022-01-16,3.9,2.2,6.6,,,239,23.6,74.1,1014.2,
2022-01-17,4.3,1.1,7.1,,,299,32.9,83.3,1016.4,
2022-01-18,2,-1.3,5.7,,,261,13.1,29.6,1030.8,
2022-01-19,3.5,2.9,4.4,,,237,32.7,70.4,1015.1,
2022-01-20,1.3,-0.2,2.9,,,319,31.7,70.4,1010.5,
2022-01-21,2.6,0.4,4.1,,,303,18.7,42.6,1021.1,
2022-01-22,1.6,-1.2,3.3,,,250,9.9,24.1,1026.5,
2022-01-23,5.5,3.3,7.2,,,282,13.2,31.5,1030.1,
2022-01-24,5.4,4.7,5.9,,,260,18.2,33.3,1030.7,
2022-01-25,5.2,1.9,6.3,,,276,15.1,33.3,1027.8,
2022-01-26,5.5,4.5,6.4,,,257,26.2,48.2,1020.4,
2022-01-27,6.2,4.7,8.3,,,257,40.2,74.1,1004.3,
2022-01-28,4.4,1.2,5.7,,,303,23.3,59.3,1019.2,
2022-01-29,6.2,3.4,8.7,,,240,38.3,100,1003.3,
2022-01-30,5.6,1.9,7.4,,,301,41.4,98.2,1004.8,
2022-01-31,0.7,-2.3,2.2,,,329,8,22.2,1007.4,
2022-02-01,2.3,-3.1,6.4,,,254,20.9,53.7,998.9,
2022-02-02,2.5,-0.2,4.8,,,304,16.2,44.5,1004.5,
2022-02-03,4.2,1.9,6.1,,,220,16.5,29.6,1010.2,
2022-02-04,5.1,1.8,6.4,,,221,21.2,40.8,1001.1,
2022-02-05,3.6,1.8,5.8,,,243,29,50,1003.9,
2022-02-06,4.2,1,6,,,242,22.9,51.8,990.9,
2022-02-07,3.7,1,6.3,,,291,25.5,55.5,1003.8,
2022-02-08,6,3.4,8.9,,,255,25.6,48.2,1013.7,
2022-02-09,5.8,3.6,8.4,,,240,22,44.5,1015.3,
2022-02-10,3.9,1.7,6.5,,,240,18.4,33.3,1014.1,
2022-02-11,1.8,-1.1,5,,,277,16.7,38.9,1019.5,
2022-02-12,1.7,-2,4.1,,,219,22.5,40.8,1025.8,
2022-02-13,3.2,1.9,4.6,,,197,25.3,42.6,1011,
2022-02-14,5.3,3.9,7.2,,,188,25.2,42.6,1000.1,
2022-02-15,5.4,4.5,7.1,,,205,27.7,44.5,1002.1,
2022-02-16,5.4,3.7,7.9,,,204,28.4,61.1,987.7,
2022-02-17,5.5,3.9,8.3,,,270,36.6,68.5,980.5,
2022-02-18,4.3,1.9,5.3,,,224,30,55.5,991.2,
2022-02-19,4.3,2.7,6.5,,,257,34.9,66.7,991.2,
2022-02-20,3.6,1.1,7.1,,,216,25.9,44.5,995.9,
2022-02-21,5.1,2.8,7,,,257,38.4,70.4,982,
2022-02-22,3,-0.4,5,,,261,18,40.8,1004.7,
2022-02-23,6,4.6,8.1,,,257,31.4,59.3,1012.3,
2022-02-24,5.4,1.1,7.3,,,196,28.1,51.8,1004.4,
2022-02-25,4,2.1,6.5,,,248,25,48.2,1008.1,
2022-02-26,2.6,0.1,5.6,,,349,9.9,27.8,1031.9,
2022-02-27,2,-0.6,4,,,154,13.4,29.6,1039,
2022-02-28,3.2,1.3,5.4,,,157,18.3,37,1036.2,
2022-03-01,2.7,1.7,3.5,,,185,18.8,38.9,1031.8,
2022-03-02,1.5,-1.4,4.3,,,343,7.7,22.2,1027.3,
2022-03-03,3.4,0.2,7.8,,,351,17.3,29.6,1023.9,
2022-03-04,1.9,-1.6,4.6,,,79,8.8,22.2,1027,
2022-03-05,1.1,-2,2.9,,,92,8.5,22.2,1027.9,
2022-03-06,2,-2.5,5.9,,,309,10.8,25.9,1026.3,
2022-03-07,3.7,-1.4,8.9,,,326,11.9,25.9,1026.7,
2022-03-08,0.9,-2.6,6,,,297,7.9,24.1,1026.1,
2022-03-09,0.2,-2,4.8,,,21,8,22.2,1028.1,
2022-03-10,3.6,1.8,5.5,,,124,24.9,38.9,1032.9,
2022-03-11,3.4,1.7,4.6,,,137,34.2,48.2,1030.7,
