date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,3.8,1.1,5.6,,,261,18.2,37,1028.6,
2020-01-02,1.9,1.3,2.6,,,238,22.1,40.8,1021.7,
2020-01-03,5.1,2.6,6.7,,,238,25.4,48.2,1010.5,
2020-01-04,4.3,1.7,5.5,,,287,25.7,51.8,1013.3,
2020-01-05,2.3,-1.5,5.6,,,240,15.4,35.2,1027.9,
2020-01-06,5.7,5,6.5,,,225,18.8,35.2,1021.9,
2020-01-07,5.2,3.7,6.9,,,209,17.8,40.8,1018.9,
2020-01-08,6.7,4.3,8.6,,,221,23,46.3,1015,
2020-01-09,5.1,1.8,8.4,,,189,16.5,35.2,1012.7,
2020-01-10,6.4,5,7.6,,,250,11.4,31.5,1009.9,
2020-01-11,5,3.9,6,,,223,22.6,50,1022.6,
2020-01-12,5.7,4.6,6.2,,,232,29.5,53.7,1012.3,
2020-01-13,5.2,4.3,6,,,222,16.6,33.3,1014.4,
2020-01-14,6.1,4.9,8,,,185,29.8,50,1003.9,
2020-01-15,9.5,5.5,11.4,,,210,31.7,57.4,1004.8,
2020-01-16,5.8,4.3,7.7,,,210,19.5,38.9,1021.6,
2020-01-17,5.7,5.2,6.6,,,157,19.5,37,1017.1,
2020-01-18,5.8,4.4,7,,,217,23.5,51.8,1014.4,
2020-01-19,3.7,0.2,7,,,260,12,31.5,1030.3,
2020-01-20,4.5,-0.1,6.9,,,242,17,37,1040,
2020-01-21,6.8,6,7.6,,,255,27.8,46.3,1032.3,
2020-01-22,5.3,0.3,8.4,,,286,18.8,46.3,1028.6,
2020-01-23,3.7,-1.5,5.9,,,243,17,37,1028.1,
2020-01-24,6.2,5.4,7.4,,,239,19.8,37,1017.4,
2020-01-25,5.7,3.7,7.7,,,237,14.6,31.5,1016.8,
2020-01-26,4.2,3.2,5,,,207,18.2,33.3,1015.5,
2020-01-27,4.6,3,5.7,,,178,17.2,37,1006.3,
2020-01-28,5.2,3.8,6,,,167,14.4,35.2,989.8,
2020-01-29,4.5,3.2,5.8,,,239,19.8,37,993.5,
2020-01-30,6.1,3.8,8.1,,,220,19.4,38.9,997.3,
2020-01-31,7.5,5.7,8.6,,,238,23.6,51.8,995.2,
2020-02-01,8.3,7.1,9.2,,,217,24.7,44.5,993.9,
2020-02-02,5.3,2,7.2,,,257,27.3,57.4,998.1,
2020-02-03,3.9,1.4,6.4,,,217,12.7,33.3,1002.4,
2020-02-04,3.9,3,5,,,279,24.7,53.7,1002.9,
2020-02-05,3.3,-2.2,5.9,,,275,20.1,51.8,1026.3,
2020-02-06,6.6,5.2,8.8,,,271,20.5,48.2,1023.1,
2020-02-07,4.7,4.1,5.3,,,173,10.4,29.6,1028.7,
2020-02-08,4.9,4.1,6.1,,,174,18.7,35.2,1020.4,
2020-02-09,7,5.7,8.5,,,181,30.7,75.9,999.2,
2020-02-10,6.2,3.2,8.3,,,229,29.6,66.7,978.1,
2020-02-11,3.9,2.7,6.5,,,234,29.2,53.7,983.9,
2020-02-12,4.2,3.1,5.3,,,235,31.9,57.4,994.3,
2020-02-13,4,2.8,5.9,,,202,18.5,44.5,1005.6,
2020-02-14,4,3.1,6.3,,,108,9.4,31.5,1015.3,
2020-02-15,5.5,3.7,7,,,182,20.7,44.5,1014.7,
2020-02-16,8.1,6.4,10.2,,,191,27.2,61.1,996.2,
2020-02-17,7,5.9,8.5,,,221,36.3,64.8,1000.6,
2020-02-18,5.8,4.8,6.6,,,225,28.4,53.7,1007.5,
2020-02-19,4.8,3.4,6,,,236,20,40.8,1006.7,
2020-02-20,4.7,2.8,6.2,,,191,24.5,48.2,1009.9,
2020-02-21,5.9,3.7,8.3,,,235,27.8,51.8,1009.6,
2020-02-22,6.5,4.8,8.2,,,226,37.6,77.8,1003.2,
2020-02-23,4.6,3.6,6.6,,,248,26,63,1001.4,
2020-02-24,4.8,3.2,6.1,,,240,18.6,44.5,1008.4,
2020-02-25,4.6,2.6,6.4,,,207,34.3,68.5,986.8,
2020-02-26,2.2,1.5,2.9,,,304,18.1,63,990.2,
2020-02-27,1.5,-1.2,3.6,,,237,7,20.4,998.8,
2020-02-28,3.1,-1.4,6.8,,,240,16.8,42.6,1005.2,
2020-02-29,4.7,3.2,7.1,,,149,23.4,48.2,993.6,
2020-03-01,5.2,4,6.8,,,197,24.2,48.2,989.4,
2020-03-02,5.1,3.7,7.9,,,159,12.5,31.5,993.4,
2020-03-03,3.7,2.3,4.7,,,53,9,24.1,999.6,
2020-03-04,4.6,3,7.6,,,237,15.6,35.2,1005,
2020-03-05,3.7,1.5,6,,,182,12,27.8,1003.8,
2020-03-06,4.5,2.9,6.6,,,48,24.6,38.9,1000.1,
2020-03-07,4.4,0.7,6.8,,,333,14.1,40.8,1010.3,
2020-03-08,5.6,1.4,7.4,,,175,20.2,40.8,1010.7,
2020-03-09,6.5,4.4,9,,,192,12.2,29.6,1007.8,
2020-03-10,5.8,3.5,8,,,185,20.5,46.3,999,
2020-03-11,7.5,5.8,10.2,,,240,27.2,59.3,1000,
2020-03-12,6.6,4.8,8.1,,,225,35,94.5,995.5,
2020-03-13,4.6,2.1,7.7,,,254,25.1,51.8,1003.7,
2020-03-14,2.1,-4,4.7,,,173,14.6,42.6,1023.1,
2020-03-15,5.9,3.7,7.7,,,170,26.1,50,1015.2,
2020-03-16,7.6,4,10.3,,,223,16.6,37,1015.6,
2020-03-17,6.9,1.7,9.9,,,222,18.6,40.8,1023.6,
2020-03-18,8.1,7.1,8.9,,,220,21.4,50,1019.7,
2020-03-19,6.7,2.9,9.5,,,264,13.4,31.5,1024.3,
2020-03-20,5.1,2.1,8.5,,,311,17.5,44.5,1027.5,
2020-03-21,3.7,0.7,6.8,,,16,18.4,37,1035.6,
2020-03-22,2.5,0,5.5,,,96,15.5,27.8,1040.6,
2020-03-23,2.4,1,4,,,152,16.4,35.2,1040.9,
2020-03-24,4,1.5,5.7,,,168,19.6,38.9,1037.2,
2020-03-25,4.7,3,6.7,,,159,18.2,38.9,1034.4,
2020-03-26,4.9,1.8,7.9,,,113,12.2,27.8,1032.1,
2020-03-27,5.8,0.9,10.7,,,20,9.9,24.1,1028.3,
2020-03-28,5.9,1.9,9.6,,,307,12.2,46.3,1021.8,
2020-03-29,,,,,,,,,,
2020-03-30,3.7,-1.5,6.9,,,317,18.9,40.8,1025.7,
2020-03-31,3.6,-2.9,7.7,,,280,14.8,42.6,1028.6,
2020-04-01,6.2,4.3,8.6,,,247,24.7,50,1013.9,
2020-04-02,6.7,4.2,9.2,,,240,30.5,66.7,1002.8,
2020-04-03,5.3,3.3,7.9,,,265,34.7,68.5,1005,
2020-04-04,5.1,0.9,9.6,,,221,14.9,31.5,1022.2,
2020-04-05,7.5,2,11.7,,,158,13.6,35.2,1029.9,
2020-04-06,9.2,6.8,12.6,,,124,18.2,38.9,1024.1,
2020-04-07,10.6,5.7,14.9,,,283,15.7,38.9,1028.3,
2020-04-08,8.3,3.2,12.4,,,150,11.3,33.3,1028.1,
2020-04-09,8.6,3.6,11.7,,,285,18.4,40.8,1022.1,
2020-04-10,6.2,1.1,11.1,,,270,9.7,24.1,1026.1,
2020-04-11,6.4,1.1,9.7,,,218,10.9,29.6,1026.1,
2020-04-12,11.8,7.5,18.2,,,219,19.2,42.6,1013,
2020-04-13,6.1,4.1,8.4,,,297,26.9,61.1,1012,
2020-04-14,5.6,0.6,9.1,,,284,18.9,44.5,1018.5,
2020-04-15,9.7,6.5,14.6,,,265,28.4,51.8,1015.7,
2020-04-16,9.3,6.2,12.4,,,290,24,51.8,1013.9,
2020-04-17,7.3,3.7,10.9,,,336,10.4,31.5,1019.4,
2020-04-18,7.4,3.5,11.3,,,4,11.9,35.2,1021.7,
2020-04-19,8.4,4.3,12.6,,,47,10.1,31.5,1026.2,
2020-04-20,8.4,2.1,13.2,,,195,8,24.1,1029.5,
2020-04-21,9.9,5.5,14.6,,,72,10.4,27.8,1031.7,
2020-04-22,9.9,4.3,14.7,,,74,9.7,24.1,1030.7,
2020-04-23,12.4,5.3,19,,,237,8.8,27.8,1023.3,
2020-04-24,11.2,7.4,14.6,,,272,14.1,31.5,1008.1,
2020-04-25,10,7.4,12.6,,,308,16.1,40.8,1009.9,
2020-04-26,8.6,3.3,11.9,,,242,9.8,27.8,1010.4,
2020-04-27,8.4,4.3,11.4,,,186,13,33.3,1008.2,
2020-04-28,10,8.2,12.5,,,326,11.9,29.6,1005.1,
2020-04-29,6.8,4.5,8.9,,,75,22,42.6,1007.7,
2020-04-30,7.1,5.2,9.9,,,112,25.4,50,1004,
2020-05-01,8.6,5.2,11.6,,,164,8.6,27.8,999.8,
2020-05-02,9.3,6.8,11.4,,,205,9.1,29.6,1002.1,
2020-05-03,10.4,5.9,13.8,,,269,16.4,42.6,1012,
2020-05-04,8.8,4.7,13.1,,,276,15.9,38.9,1016,
2020-05-05,8.6,5.2,11.8,,,322,18.3,40.8,1018.8,
2020-05-06,10,5.8,13.8,,,288,20.9,50,1020.5,
2020-05-07,11.5,7.6,15.3,,,270,17.3,33.3,1019.1,
2020-05-08,12.1,5.8,17.5,,,256,16.1,37,1016.2,
2020-05-09,11.9,6.4,16.6,,,207,8.2,25.9,1015.3,
2020-05-10,12.8,7.9,18.2,,,158,14.5,38.9,1007.9,
2020-05-11,7.6,5.4,9.7,,,330,25.6,57.4,1009.6,
2020-05-12,6.7,1.4,11.1,,,257,18.2,48.2,1010.6,
2020-05-13,6.8,3.1,9.9,,,316,12.4,37,1012.2,
2020-05-14,7.7,1.3,12.1,,,276,17,48.2,1016.3,
2020-05-15,9.4,5.9,12.2,,,253,23.4,55.5,1014.8,
2020-05-16,10.3,7.4,12.9,,,253,28.1,57.4,1014.2,
2020-05-17,10.7,6.9,15.4,,,255,27.4,57.4,1015.1,
2020-05-18,10.8,9.3,12.2,,,248,13.9,40.8,1016.4,
2020-05-19,12.2,9.3,14.5,,,273,20.1,44.5,1016.6,
2020-05-20,11.1,5.4,15.6,,,209,7.2,22.2,1022.7,
2020-05-21,12,7.8,15.4,,,145,12.7,29.6,1024.8,
2020-05-22,13.6,11.4,16.3,,,128,20.3,50,1022.1,
2020-05-23,13.2,10.2,16.7,,,194,16.8,46.3,1016.4,
2020-05-24,11.9,9.1,14.7,,,231,20.2,40.8,1018,
