date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,9.2,7.4,10.7,7.1,,224,27.2,48.2,1006.4,
2023-01-02,7.5,5.6,9.6,5,,206,18.5,37,1010.6,
2023-01-03,4.7,1.7,7.4,0,,246,20.1,44.5,1021.5,
2023-01-04,6.7,4.5,9,21.9,,197,26.9,44.5,1006.8,
2023-01-05,4.6,2.8,8.4,1.5,,316,24.1,50,1007.9,
2023-01-06,4.2,2.4,6.8,12.8,,163,28.8,59.3,1014.2,
2023-01-07,6,4.3,7.4,4.6,,178,18.2,37,1012.4,
2023-01-08,6.4,6,7.2,2,,178,19.9,38.9,1002.3,
2023-01-09,5.4,4.3,6.3,6.2,,181,16.1,29.6,997.8,
2023-01-10,5.5,3.8,6.9,0.1,,219,18.7,38.9,1010.3,
2023-01-11,6.2,4.9,8.3,6.1,,197,26,53.7,1004.6,
2023-01-12,6.3,4.4,8.2,8.4,,202,24.7,44.5,999.1,
2023-01-13,6.9,6,8.5,5,,201,28.5,50,995.9,
2023-01-14,6.2,5.6,7,5.1,,211,31,57.4,1000.3,
2023-01-15,5.8,4.4,8,3.4,,220,38.8,68.5,987.5,
2023-01-16,4.7,4,5.4,0.1,,182,29.6,57.4,989.7,
2023-01-17,3.6,2.3,5,5.5,,172,30.6,46.3,980.6,
2023-01-18,1.8,0.4,2.9,0,,200,19.4,42.6,992.8,
2023-01-19,2.6,1.3,3.5,2.6,,192,24.7,48.2,999.5,
2023-01-20,2,0,3.9,0,,238,7.8,27.8,1014.2,
2023-01-21,0.3,-1,2,0,,31,15.5,35.2,1032.9,
2023-01-22,0.3,-1.7,1.6,0,,42,21.7,33.3,1037,
2023-01-23,2,1.4,2.6,0,,46,11.3,29.6,1040.3,
2023-01-24,1.4,0.1,2.4,0,,246,10.8,25.9,1040.1,
2023-01-25,0.5,0,0.9,0.2,,237,18.5,33.3,1030.2,
2023-01-26,3,0.8,5.4,1.2,,297,17.1,37,1022.1,
2023-01-27,0.3,-3.1,3.5,0,,19,13,37,1029.3,
2023-01-28,-0.1,-5.1,3.9,0.8,,247,14.5,35.2,1025.8,
2023-01-29,4.5,3.5,5.9,0.6,,244,24.9,50,1015,
2023-01-30,4.9,3,6,2.7,,271,32.3,55.5,998.8,
2023-01-31,3.4,0.9,6.1,3.6,,256,26,61.1,1005.1,
2023-02-01,4.5,3,5.7,3.8,,260,28.9,59.3,999.1,
2023-02-02,2.1,-1.1,4.7,0.1,,306,18.6,46.3,1013.4,
2023-02-03,3.5,1.2,7.1,17.7,,286,30.2,57.4,1009.9,
2023-02-04,-0.9,-2.7,1.3,0,,28,15.5,38.9,1036.9,
2023-02-05,0.6,-1.5,2,0.1,,196,16.4,35.2,1037.2,
2023-02-06,-0.2,-1.2,1.9,0,,333,10.6,24.1,1040.8,
2023-02-07,0.2,-1.1,1.5,0.1,,238,11.6,24.1,1040.8,
2023-02-08,1.7,-0.4,3.5,0,,203,17.1,37,1038.7,
2023-02-09,1.5,-0.1,3.2,0,,215,25.8,42.6,1027,
2023-02-10,4.9,3,6.9,0.8,,250,24.4,50,1025.6,
2023-02-11,7.6,4.3,10,0.6,,276,28.1,53.7,1021.9,
2023-02-12,6.6,1.1,10.4,0.5,,262,16.8,35.2,1033.2,
2023-02-13,7.5,6.3,9.2,0,,286,18.5,33.3,1034.3,
2023-02-14,4.5,3,6.3,0,,244,10,18.5,1035.4,
2023-02-15,3.3,2.7,3.9,0,,180,11.8,24.1,1027,
2023-02-16,4,1.9,5.9,0.6,,223,12.2,24.1,1018.5,
2023-02-17,6.8,4.8,9.4,14.2,,223,35.4,92.6,1003.4,
2023-02-18,5.3,2.3,6.9,0.3,,279,30.5,90.8,1006.9,
2023-02-19,3.5,1.3,6.3,0,,280,19.9,38.9,1014.7,
2023-02-20,6.8,3.4,8.9,5.9,,254,34.6,63,1004.9,
2023-02-21,6.3,1.6,8.9,0,,295,23.8,63,1009.4,
2023-02-22,3.6,2.5,4.7,0,,126,23.5,38.9,1017.4,
2023-02-23,4.3,3.5,5.8,1.1,,191,19.7,38.9,1011.3,
2023-02-24,3.3,1.9,6.1,5,,259,18.1,40.8,996.4,
2023-02-25,1,0.3,2.2,1,,1,39.2,55.5,1004.2,
2023-02-26,1.5,-0.1,3.8,0,,352,23.9,42.6,1022,
2023-02-27,2.1,-4,6.4,0,,330,7.6,20.4,1029.8,
2023-02-28,3.1,-2,9,0,,267,5.9,18.5,1031.5,
